,Time,Confirmed,Removed,Total_Population,Susceptible
0,1/22/20,555,45,7000000000,6999999400
1,1/23/20,654,48,7000000000,6999998698
2,1/24/20,941,62,7000000000,6999997695
3,1/25/20,1434,81,7000000000,6999996180
4,1/26/20,2118,108,7000000000,6999993954
5,1/27/20,2927,143,7000000000,6999990884
6,1/28/20,5578,238,7000000000,6999985068
7,1/29/20,6166,259,7000000000,6999978643
8,1/30/20,8234,314,7000000000,6999970095
9,1/31/20,9927,435,7000000000,6999959733
10,2/1/20,12038,543,7000000000,6999947152
11,2/2/20,16787,834,7000000000,6999929531
12,2/3/20,19881,1049,7000000000,6999908601
13,2/4/20,23892,1344,7000000000,6999883365
14,2/5/20,27635,1688,7000000000,6999854042
15,2/6/20,30794,2121,7000000000,6999821127
16,2/7/20,34391,2730,7000000000,6999784006
17,2/8/20,37120,3422,7000000000,6999743464
18,2/9/20,40150,4150,7000000000,6999699164
19,2/10/20,42762,4959,7000000000,6999651443
20,2/11/20,44802,5796,7000000000,6999600845
21,2/12/20,45221,6268,7000000000,6999549356
22,2/13/20,60368,7666,7000000000,6999481322
23,2/14/20,66885,9581,7000000000,6999404856
24,2/15/20,69030,11061,7000000000,6999324765
25,2/16/20,71224,12635,7000000000,6999240906
26,2/17/20,73258,14451,7000000000,6999153197
27,2/18/20,75136,16359,7000000000,6999061702
28,2/19/20,75639,18243,7000000000,6998967820
29,2/20/20,76197,20424,7000000000,6998871199
30,2/21/20,76819,21141,7000000000,6998773239
31,2/22/20,78572,25344,7000000000,6998669323
32,2/23/20,78958,25863,7000000000,6998564502
33,2/24/20,79561,27856,7000000000,6998457085
34,2/25/20,80406,30613,7000000000,6998346066
35,2/26/20,81388,33154,7000000000,6998231524
36,2/27/20,82746,36091,7000000000,6998112687
37,2/28/20,84112,39583,7000000000,6997988992
38,2/29/20,86011,42723,7000000000,6997860258
39,3/1/20,88369,45712,7000000000,6997726177
40,3/2/20,90306,48687,7000000000,6997587184
41,3/3/20,92840,51388,7000000000,6997442956
42,3/4/20,95120,54424,7000000000,6997293412
43,3/5/20,97886,57144,7000000000,6997138382
44,3/6/20,101801,59325,7000000000,6996977256
45,3/7/20,105847,61916,7000000000,6996809493
46,3/8/20,109821,64496,7000000000,6996635176
47,3/9/20,113590,66482,7000000000,6996455104
48,3/10/20,118620,68666,7000000000,6996267818
49,3/11/20,125875,71618,7000000000,6996070325
50,3/12/20,128352,73044,7000000000,6995868929
51,3/13/20,145205,75655,7000000000,6995648069
52,3/14/20,156101,78443,7000000000,6995413525
53,3/15/20,167454,82474,7000000000,6995163597
54,3/16/20,181574,85214,7000000000,6994896809
55,3/17/20,197102,88745,7000000000,6994610962
56,3/18/20,214821,92045,7000000000,6994304096
57,3/19/20,242500,94842,7000000000,6993966754
58,3/20/20,272035,98719,7000000000,6993596000
59,3/21/20,304396,104665,7000000000,6993186939
60,3/22/20,336953,112550,7000000000,6992737436
61,3/23/20,378235,114856,7000000000,6992244345
62,3/24/20,418045,126625,7000000000,6991699675
63,3/25/20,467653,134968,7000000000,6991097054
64,3/26/20,529591,146120,7000000000,6990421343
65,3/27/20,593291,158113,7000000000,6989669939
66,3/28/20,660706,170067,7000000000,6988839166
67,3/29/20,720117,183007,7000000000,6987936042
68,3/30/20,782365,202148,7000000000,6986951529
69,3/31/20,857487,220141,7000000000,6985873901
70,4/1/20,932605,239986,7000000000,6984701310
71,4/2/20,1013157,263246,7000000000,6983424907
72,4/3/20,1095917,284583,7000000000,6982044407
73,4/4/20,1197405,310758,7000000000,6980536244
74,4/5/20,1272115,329386,7000000000,6978934743
